Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
0,,,,,80.0,,,,,
1,,,,,80.0,,,,,
2,,,,,80.0,,,,,
3,,,,,80.0,,,,,
4,,,,,80.0,,,,,
5,,,,,80.0,,,,,
6,,,,,80.0,,,,,
7,,,,,80.0,,,,,
8,,,,,80.0,,,,,
9,,,,,80.0,,,,,
10,,,,,80.0,,,,,
11,,,,,80.0,,,,,
12,,,,,80.0,,,,,
13,,,,,80.0,,,,,
14,,,,,80.0,,,,,
15,,,,,80.0,,,,,
16,,,,,80.0,,,,,
17,,,,,80.0,,,,,
18,,,,,80.0,,,,,
19,,,,,80.0,,,,,
20,,,,,80.0,,,,,
21,,,,,80.0,,,,,
22,,,,,80.0,,,,,
23,,,,,80.0,,,,,
24,,,,,80.0,,,,,
