Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
0,,,,,40.0,,,,,
1,,,,,40.0,,,,,
2,,,,,40.0,,,,,
3,,,,,40.0,,,,,
4,,,,,40.0,,,,,
5,,,,,40.0,,,,,
6,,,,,40.0,,,,,
7,,,,,40.0,,,,,
8,,,,,40.0,,,,,
9,,,,,40.0,,,,,
10,,,,,40.0,,,,,
11,,,,,40.0,,,,,
12,,,,,40.0,,,,,
13,,,,,40.0,,,,,
14,,,,,40.0,,,,,
15,,,,,40.0,,,,,
16,,,,,40.0,,,,,
17,,,,,40.0,,,,,
18,,,,,40.0,,,,,
19,,,,,40.0,,,,,
20,,,,,40.0,,,,,
21,,,,,40.0,,,,,
22,,,,,40.0,,,,,
23,,,,,40.0,,,,,
24,,,,,40.0,,,,,
