Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
0,,,,,30.0,,,,,
1,,,,,30.0,,,,,
2,,,,,30.0,,,,,
3,,,,,30.0,,,,,
4,,,,,30.0,,,,,
5,,,,,30.0,,,,,
6,,,,,30.0,,,,,
7,,,,,30.0,,,,,
8,,,,,30.0,,,,,
9,,,,,30.0,,,,,
10,,,,,30.0,,,,,
11,,,,,30.0,,,,,
12,,,,,30.0,,,,,
13,,,,,30.0,,,,,
14,,,,,30.0,,,,,
15,,,,,30.0,,,,,
16,,,,,30.0,,,,,
17,,,,,30.0,,,,,
18,,,,,30.0,,,,,
19,,,,,30.0,,,,,
20,,,,,30.0,,,,,
21,,,,,30.0,,,,,
22,,,,,30.0,,,,,
23,,,,,30.0,,,,,
24,,,,,30.0,,,,,
